
> aframe-360-image-gallery-boilerplate@0.3.0-beta6 start /home/abrar/VR
> budo --live --verbose --port 3000 --open

[0000] info  Server running at http://45.76.184.39:3000/ (connect)
[0001] info  LiveReload running on 35729
[2677] 1ms           0B GET    304 /components/set-image.js
[2677] 1ms           0B GET    304 /components/update-raycaster.js
[2677] 1ms           0B GET    304 /img/backpacklogo.png
[2677] 0ms           0B GET    304 /img/pop2.jpg
[2677] 1ms           0B GET    304 /img/pop1.jpg
[2677] 4ms           0B GET    304 /img/pop8.jpg
[2677] 4ms           0B GET    304 /img/pop7.jpg
[2677] 4ms           0B GET    304 /img/pop3.jpg
[2677] 4ms           0B GET    304 /img/pop6.jpg
[2677] 5ms           0B GET    304 /img/pop4.jpg
[2677] 4ms           0B GET    304 /img/pop5.jpg
[2677] 1ms           0B GET    304 /img/pop10.jpg
[2677] 2ms           0B GET    304 /img/pop9.jpg
[2677] 2ms           0B GET    304 /img/pop12.jpg
[2677] 2ms           0B GET    304 /img/thumb2.jpg
[2677] 4ms           0B GET    304 /img/pop11.jpg
[2677] 3ms           0B GET    304 /img/thumb1.jpg
[2677] 3ms           0B GET    304 /img/thumb3.jpg
[2677] 21ms          0B GET    304 /img/thumb4.jpg
[2677] 22ms          0B GET    304 /img/thumb6.jpg
[2677] 22ms          0B GET    304 /img/thumb5.jpg
[2677] 23ms          0B GET    304 /img/thumb8.jpg
[2677] 23ms          0B GET    304 /img/thumb7.jpg
[2677] 6ms           0B GET    304 /img/thumb10.jpg
[2677] 1ms           0B GET    304 /img/thumb11.jpg
[2677] 1ms           0B GET    304 /img/thumb12.jpg
[2677] 1ms           0B GET    304 /img/4.jpg
[2677] 1ms           0B GET    304 /img/2.jpg
[4631] 2ms        1232B GET    200 /components/set-image.js
[4631] 8ms         216B GET    200 /components/update-raycaster.js
[4631] 2ms        3652B GET    200 /img/backpacklogo.png
[4631] 2ms         18KB GET    200 /img/pop1.jpg
[4631] 1ms         20KB GET    200 /img/pop2.jpg
[4631] 1ms         48KB GET    200 /img/pop3.jpg
[4632] 1ms         31KB GET    200 /img/pop4.jpg
[4632] 1ms         46KB GET    200 /img/pop5.jpg
